date,directionCode,r_11,r_12,r_13,r_14,r_1e,r_21,r_22,r_23,r_24,r_2e,r_31,r_32,r_33,r_34,r_3e,r_41,r_42,r_43,r_44,r_4e,totalActivitiesRefcircle,totalCustomersRefcircle,dayname,weekend,transactCount,totalRevenue,Seats,Parking_slots,type_dtsf,mtype,isholiday,region,deltaRevenue
3/10/2019,3,0.779487179,0.152542373,0.25,0.152542373,0,0.13559322,0.876056338,0.204819277,0.172413793,0.035211268,0.285714286,0.21686747,0.815420561,0.175438596,0,0.152542373,0.24137931,0.175438596,0.85,0.002777778,3527,1728,Thu,no,71,42600,162,0,SF,Urban,no,1,-15.87927703
5/12/2019,1,0.830564784,0.164750958,0.181818182,0.166666667,0.03820598,0.134099617,0.871275328,0.078651685,0.185185185,0.003575685,0.106060606,0.104868914,0.834661355,0.119047619,0,0.147058824,0.222222222,0.148809524,0.773333333,0.003333333,4984,2057,Thu,no,60,38190,100,13,DT,Urban,no,1,25.21048571
21/02/2020,1,0.829022989,0.132352941,0.166666667,0.116883117,0.037356322,0.161764706,0.873126873,0.128630705,0.211764706,0.003996004,0.08974359,0.12033195,0.823248408,0.105058366,0.001592357,0.138528139,0.105882353,0.155642023,0.77412731,0.006160164,5969,2571,Fri,no,87,68780,100,13,DT,Urban,no,1,24.11238725
23/10/2019,3,0.923076923,0,0,0.25,0,0,0.803030303,0.118644068,0.128205128,0.060606061,0,0.220338983,0.811320755,0.100775194,0.014150943,0.25,0.153846154,0.108527132,0.865306122,0,1324,576,Wed,no,29,20670,64,80,DT,Suburban,no,2,-10.09861743
8/09/2019,2,0.882172131,0.215517241,0.104408353,0.159574468,0.00204918,0.181034483,0.611285266,0.094017094,0.166666667,0.009404389,0.125290023,0.111111111,0.727524205,0.098726115,0.037344398,0.180851064,0.333333333,0.111464968,0.714932127,0.004524887,5557,1978,Sun,yes,97,118690,106,15,DT,Urban,no,1,7.282945518
18/10/2019,2,0.631578947,0.5,0.333333333,0.153846154,0.035087719,0.25,0.739130435,0.3,0.196078431,0.014492754,0.222222222,0.2,0.387755102,0.195767196,0.102040816,0.102564103,0.039215686,0.158730159,0.848861284,0.113871636,1615,616,Fri,no,188,73700,210,0,SF,Urban,no,3,-27.48728507
29/07/2019,1,0.817622951,0.135135135,0.151515152,0.089655172,0.073770492,0.216216216,0.806451613,0.233333333,0.166666667,0.008064516,0.212121212,0.166666667,0.871382637,0.188405797,0,0.114942529,0.5,0.173913043,0.74863388,0.010928962,2589,1164,Mon,no,106,59820,86,0,SF,Hyper,no,4,-8.126401236
7/08/2019,1,0.724505327,0.233333333,0.2,0.073846154,0.050228311,0.3,0.796703297,0.176470588,0.357142857,0.005494505,0.16,0.117647059,0.897243108,0.114754098,0.002506266,0.069538462,0.571428571,0.278688525,0.668376068,0.020512821,3600,1592,Wed,no,103,50480,86,0,SF,Hyper,no,4,-6.647295969
4/02/2020,3,0.896226415,0.118811881,0.222222222,0.103448276,0.009433962,0.128712871,0.829787234,0.125,0.333333333,0.028368794,0,0.25,0.784313725,0.333333333,0,0.068965517,0.333333333,0.166666667,0.909090909,0,1195,511,Tue,no,46,32140,126,1000,Mall,Urban,no,5,-58.92829037
29/08/2019,1,0.894957983,0.074074074,0.238095238,0.14893617,0.113445378,0.259259259,0.820512821,0.294117647,1,0.051282051,0.095238095,0.117647059,0.865612648,0.197802198,0,0.14893617,0,0.153846154,0.744360902,0.007518797,1477,647,Thu,no,90,70970,100,37,DT,Urban,no,6,2.782348777
20/11/2019,1,0.962121212,0,0,0,0.257575758,0.2,0.703703704,0,0,0.111111111,0,0.8,0.941520468,0.111111111,0.005847953,0.333333333,0.125,0.277777778,0.804878049,0.024390244,758,355,Wed,no,114,68750,100,37,DT,Urban,no,6,-10.94237455
17/02/2020,1,0.831578947,0.09039548,0.037037037,0.102564103,0.084210526,0.124293785,0.834337349,0.186440678,0.159090909,0.018072289,0.166666667,0.152542373,0.820083682,0.10989011,0.008368201,0.128205128,0.204545455,0.131868132,0.753694581,0.014778325,2355,1043,Mon,no,80,61200,60,61,DT,Suburban,no,7,25.51419979
1/07/2019,4,0.862385321,0.225,0.5,0.157142857,0,0.225,0.92173913,0.234042553,0,0,0.5,0.234042553,0.844036697,0.348837209,0,0.1,0,0.186046512,0.924444444,0.068888889,2315,1168,Mon,no,79,28350,158,0,SF,Hyper,no,3,-15.65623122
26/09/2019,3,0.691729323,0.128834356,0.625,0.191780822,0.04887218,0.141104294,0.800995025,0.2,0.08974359,0.039800995,0.25,0.133333333,0.575949367,0.102783726,0,0.123287671,0.192307692,0.099571734,0.726510067,0,3764,1346,Thu,no,51,43580,57,21,DT,Rural,no,5,7.967473685
5/03/2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue,no,106,55140,151,0,SF,Hyper,no,8,-10.34049231
31/12/2018,3,0.872146119,0.195121951,0.5,0.12,0.01369863,0.12195122,0.870748299,0.04,0.018181818,0.074829932,0.2,0.1,0.837837838,0.192307692,0.013513514,0.12,0.036363636,0.057692308,0.926315789,0.002631579,1783,843,Mon,no,38,26090,151,0,SF,Hyper,no,8,-27.83131123
3/01/2020,4,0.839788732,0.151219512,0.264367816,0.148148148,0.001760563,0.068292683,0.855648536,0.134831461,0.3125,0,0.149425287,0.179775281,0.77258567,0.155172414,0.00623053,0.074074074,0.25,0.137931034,0.866090713,0.056155508,3849,1674,Fri,no,77,82680,188,217,DT,Urban,no,1,85.15077263
11/12/2019,3,0.794694348,0.116326531,0.131782946,0.159010601,0.001153403,0.114285714,0.830205541,0.079059829,0.071428571,0.011617516,0.147286822,0.13034188,0.796153846,0.136231884,0.001282051,0.148409894,0.084821429,0.101449275,0.832414553,0,7534,3322,Wed,no,48,41550,120,31,DT,Urban,no,1,-10.82927924
20/11/2019,3,0.823275862,0.106741573,0.230769231,0.148148148,0.004310345,0.084269663,0.915322581,0.127659574,0.214285714,0.078629032,0.153846154,0.106382979,0.865384615,0.227272727,0,0.222222222,0.285714286,0.136363636,0.879828326,0,2385,1099,Wed,no,111,57210,162,0,SF,Urban,no,1,-0.412658625
